Name,x1,x2,ach,r1,r2
DP 0 (Current),0.93,2.79,1.3,2475.6182,2682.9321
DP 1,2.5,1.5,1.3,2375.6687,1896.6862
DP 2,2.682097619,2.78661118,11.94964996,528.09308,502.83737
DP 3,2.686330188,2.737303082,1.310593995,2273.8154,1921.3337
DP 4,2.67540982,0.360713995,1.408484407,1908.5817,1807.8666
DP 5,0.30650511,0.323855811,11.53131616,535.23651,531.81567
DP 6,0.375910744,2.759099903,1.322733056,2215.5764,2126.0342
DP 7,0.308034776,2.756283212,11.32580178,526.77899,512.23297
DP 8,2.658032187,0.421910601,11.78982636,514.20514,509.81802
DP 9,0.397273198,0.375470143,1.566534837,1870.2463,1853.8241
DP 10,1.496532276,0.317977872,9.117638028,553.08319,532.30206
DP 11,2.020313177,2.789710074,6.319916673,694.21918,649.89868
DP 12,0.942275686,1.550491131,11.8382351,553.573,534.03168
DP 13,2.661983638,1.563412491,4.086544219,956.59412,748.96625
DP 14,1.572370839,1.015785187,1.384660768,2075.0693,1876.1907
DP 15,0.302257278,1.792713674,5.177820401,818.17969,831.20978
DP 16,2.170298107,1.62180043,11.9665906,525.17932,479.63446
DP 17,1.540444747,2.253866008,1.640691895,1906.9255,1793.7362
DP 18,1.488518704,2.76149144,11.62748855,530.74292,507.74429
DP 19,2.5419816,0.394656477,6.600398412,657.31451,636.12683
DP 20,0.361029434,0.607933261,6.54330048,698.39178,702.75525
DP 21,0.856637955,2.695810755,6.855044579,694.48651,675.32123
DP 22,1.25018191,0.338474366,4.656516221,768.81091,721.42188
DP 23,2.684633447,2.160426986,8.402801503,614.48798,546.57495
DP 24,0.654431586,1.549830929,1.227944868,2438.605,2544.7368
DP 25,0.332506437,1.449979256,8.914391511,622.44055,597.72968
DP 26,2.596132565,1.237042167,8.304415095,628.9859,552.32172
DP 27,1.757406512,2.16983146,9.079611645,626.05969,583.20923
DP 28,2.043620463,0.948782418,4.526243725,871.49573,786.57764
DP 29,1.786541194,0.852046577,11.79154959,530.62128,504.30872
DP 30,0.879953556,1.144404167,4.790354499,789.24719,757.32782
DP 31,2.148498016,1.635152376,1.223388629,2341.7537,2091.0088
DP 32,0.857093812,2.309376277,3.565762134,1100.4675,1019.9126
DP 33,0.859546674,0.845888859,9.891476106,573.17188,562.89398
DP 34,2.607161418,2.367788673,4.809200383,872.81702,792.42706
DP 35,0.914139939,1.996942615,8.906978705,642.69342,632.54315
DP 36,1.951614689,1.945649753,4.333089799,886.55121,744.60596
DP 37,1.90951445,0.306837831,1.747539113,1600.4402,1452.5178
DP 38,1.908161643,0.934214512,7.964160878,630.06915,590.1261
DP 39,1.302411851,1.646107492,3.255587358,1173.4028,1077.6995
DP 40,1.994906199,2.790371425,2.643967871,1324.6145,1161.6638
DP 41,2.188925292,2.778761427,9.477635026,606.21747,553.42938
DP 42,1.179259912,0.391210703,1.326867823,2241.4041,2144.7249
DP 43,1.027706893,0.300982495,11.9519272,498.95731,480.84778
DP 44,1.474921743,2.302780996,6.154250636,782.12201,744.97662
DP 45,0.306315278,2.676507479,4.829481426,802.40656,771.61975
DP 46,0.403375455,2.020240239,11.39165842,556.81726,558.67938
DP 47,1.401638829,1.334038586,9.601443023,579.09491,551.33594
DP 48,1.547236626,1.984112479,11.96215821,559.797,527.54468
DP 49,0.315042895,2.286791053,7.577921492,646.12354,624.44696
DP 50,1.86921649,0.327971919,5.992713743,682.64014,643.27435
DP 51,2.173470735,1.737083902,7.204962947,655.92065,589.45142
DP 52,0.321021908,1.00600488,2.959362816,1186.6119,1191.4106
DP 53,2.324140565,0.959569567,1.755932469,1861.741,1610.4109
DP 54,0.925309359,2.751015562,9.86863962,578.00879,558.72131
DP 55,1.348700697,2.795459056,3.357183279,1044.3635,981.83984
DP 56,0.422296666,1.113120589,11.82778802,517.34076,516.22974
DP 57,1.12628647,0.720002445,7.21319278,657.99255,637.70294
DP 58,2.177857054,0.409606551,9.761339792,527.21375,496.24915
DP 59,2.681718396,2.776376316,7.129193696,659.53088,613.14935
DP 60,2.619049346,2.111111493,11.87879856,538.60608,485.72211
DP 61,2.551740554,1.089305855,11.48692003,539.90503,486.93924
DP 62,2.649901188,0.736116634,4.198382405,862.08478,776.85767
DP 63,0.30251466,2.126584156,2.01581775,1574.533,1533.4883
DP 64,0.870252853,1.420686819,7.483017524,650.74915,634.77124
DP 65,2.611783085,2.100992207,1.748080799,1798.8604,1455.6743
DP 66,0.554907085,0.307544904,4.23139575,866.30841,842.32739
DP 67,0.996212503,2.259826143,11.61214113,553.52661,534.56207
DP 68,0.946903541,1.826119447,5.345175456,838.25311,814.18011
DP 69,0.686554336,0.301316138,8.445090383,587.93201,576.81085
DP 70,1.572000589,2.752879969,8.453844704,602.50751,574.8924
DP 71,0.917716362,1.005375552,1.929171112,1526.1188,1418.5336
DP 72,2.135560421,2.489082799,11.89948877,560.40802,514.11133
DP 73,1.925459825,1.597808491,9.498068005,603.20898,558.42828
DP 74,0.990877856,2.609480478,1.429149578,2228.6816,2441.979
DP 75,0.327593507,1.200552916,6.461044592,700.07477,680.47723
DP 76,1.4376151,1.049764616,4.971008042,803.55426,745.54926
DP 77,2.666886726,1.422281916,1.654720767,1845.7286,1343.806
DP 78,1.80443363,1.399377998,3.24341567,1105.3739,941.52448
DP 79,2.184387882,0.360097424,3.901541748,846.88086,750.42432
DP 80,2.447919755,1.203852685,5.819760982,744.09509,622.83179
DP 81,1.050014501,2.009074247,1.202679593,2543.552,2732.0173
DP 82,0.391610378,2.790810179,8.716087513,604.18146,590.10138
DP 83,2.68292637,0.619105219,9.462698908,565.14447,544.21191
DP 84,2.27122288,2.031131916,10.03547609,566.18323,501.47354
DP 85,1.252193944,1.089119535,11.84830701,521.63507,506.10016
DP 86,0.302346738,0.77378679,8.847620814,591.22321,580.41925
DP 87,2.697027996,1.685261979,6.666485836,680.13092,590.62256
DP 88,2.629563462,1.613831944,10.69865761,566.09375,484.07852
DP 89,2.140024683,2.360585567,1.230275662,2604.6953,2716.2644
DP 90,1.786337016,0.302103364,11.33743646,512.46985,481.83194
DP 91,1.545268501,0.610677406,3.060606257,1062.2795,1011.1777
DP 92,2.098347767,2.280118889,7.328240828,645.8269,603.07385
DP 93,1.826534263,2.469997031,4.536538504,922.2085,857.48901
DP 94,0.644128363,1.529994505,3.557089643,1044.8181,1011.1592
DP 95,0.858681195,2.799333141,4.506349358,895.26746,856.13867
DP 96,1.70306219,1.403095948,11.87950328,533.71649,498.32596
DP 97,2.208739355,1.002953066,9.830182433,564.45807,506.36911
DP 98,0.819141485,0.321055628,6.233964414,690.01434,676.19397
DP 99,1.295988358,2.337478941,9.66693541,605.15552,577.47687
DP 100,2.679510364,2.598409112,9.655873727,588.0351,557.61218
DP 101,1.957553265,1.393907156,5.656799842,783.48267,662.47449
DP 102,1.613455724,1.640404612,1.43201802,2066.3022,1917.7065
DP 103,1.381062587,0.594113745,10.96059838,539.25714,524.57269
DP 104,1.370906732,2.129239731,4.03531433,1003.8132,949.44672
DP 105,0.518498084,1.796243144,7.482222529,664.08887,666.41345
DP 106,0.940774668,0.637580299,3.504695897,1009.8975,974.58002
DP 107,1.364230693,1.855172803,8.25331795,664.05273,631.961
DP 108,1.549566544,2.794670093,1.360747045,2313.9868,2568.6963
DP 109,0.71777137,2.283676773,5.743655848,806.30249,783.95288
DP 110,0.808569605,1.396490347,9.643269787,569.67737,555.58234
DP 111,0.57669857,2.41401511,10.27570935,582.50281,563.16864
DP 112,1.385417568,0.302606908,6.731697212,646.09088,598.92719
DP 113,1.480972335,0.823331091,9.084985041,600.38159,573.47467
DP 114,2.471328184,2.798128905,3.899858212,964.98975,831.26624
DP 115,0.693328752,0.918176241,7.376639902,623.85944,613.34125
DP 116,1.47281199,2.795578138,6.295431534,698.37048,662.05273
DP 117,1.173449878,1.470220627,1.269793998,2204.2312,2153.2898
DP 118,0.831796816,0.743064484,11.98413916,531.65796,521.33795
DP 119,1.749814124,1.945207443,7.068452505,731.11591,662.90387
DP 120,2.696929851,0.863407395,7.060120235,650.1767,579.43024
DP 121,1.817688259,2.5683078,10.33782828,579.79218,570.35541
DP 122,2.304651847,2.172805918,3.276300223,1057.6362,861.44611
DP 123,0.529832417,0.779850341,4.604763305,812.77393,808.82574
DP 124,0.411601059,2.185100575,4.091588703,962.3288,925.2016
DP 125,2.221624345,0.705289828,11.97875773,516.55286,492.95593
DP 126,0.988809572,2.761828126,11.90672286,530.62683,507.3421
DP 127,2.224435499,1.579194602,3.452443655,1033.895,861.51147
DP 128,1.900785631,0.399183512,8.132672547,582.89972,560.03131
DP 129,2.547696512,1.699580299,8.707320353,602.2912,523.25348
DP 130,1.648350875,0.746285916,6.229243475,690.66156,662.43756
DP 131,1.200711399,1.779290186,10.47765139,578.70575,564.33167
DP 132,1.102679149,2.31957268,7.403769155,686.07404,642.30975
DP 133,2.27446943,2.046061299,5.733652339,751.85321,641.3465
DP 134,1.364381799,1.152856892,7.513883842,655.70966,634.19257
DP 135,2.135606398,0.673377035,6.642947553,693.88745,651.46735
DP 136,0.48273794,1.982617935,9.396103229,612.12701,608.13556
DP 137,0.473459798,1.571963924,11.76993845,552.11505,539.89923
DP 138,1.078842001,0.464902722,9.062525716,593.43976,574.91223
DP 139,0.475102773,0.821763033,1.254907016,2297.21,2302.5715
DP 140,1.91412885,0.765486524,2.225411109,1395.3762,1274.0007
DP 141,0.809516113,0.302981329,2.302195474,1289.9498,1230.8444
DP 142,1.309210051,1.124337707,3.123098417,1055.6995,1002.1621
DP 143,2.660649462,1.141891899,3.336761644,1079.986,884.93616
DP 144,0.664093009,1.495440014,5.719226391,773.2381,760.43976
DP 145,1.232445146,1.445099192,5.054691427,808.53888,755.56946
DP 146,2.136328675,1.299865645,8.406378744,620.85223,560.91748
DP 147,1.8887701,1.990615101,1.255905185,2367.8462,2305.5098
DP 148,0.408994839,2.702442818,6.825970549,677.50665,662.96423
DP 149,0.68585443,0.420620979,10.30243031,549.0968,541.90588
DP 150,0.596799034,2.766922669,2.962582296,1177.5182,1172.715
DP 151,0.329319083,1.306990878,4.418008741,906.5343,928.18646
DP 152,2.2665633,0.51662431,1.228012302,2571.1045,2686.0532
DP 153,1.934035119,1.96274694,11.1771424,536.9541,494.05789
DP 154,1.79742765,1.088226457,10.07145823,562.60071,531.54138
DP 155,1.075154978,0.730362981,5.255587919,809.26526,777.48077
DP 156,0.670249422,1.889470883,2.416939043,1476.3153,1418.1622
DP 157,0.316835632,0.733807217,10.8764828,553.81696,554.76062
DP 158,0.776428967,1.821974322,10.58108371,589.79785,574.35876
DP 159,0.708228081,2.292635847,1.383310142,2573.8982,2762.2388
DP 160,2.487140036,2.345069687,6.742009257,674.6507,609.02747
DP 161,2.336687755,1.630351236,5.324521539,773.02332,671.44275
DP 162,2.553588324,0.33253983,4.716208059,797.42804,749.10529
DP 163,1.541426106,1.721618004,4.729777682,901.77716,791.49249
DP 164,1.631829089,1.902762593,2.896494068,1258.446,1108.3428
DP 165,1.097633817,2.471883248,5.015505689,802.35547,737.3844
DP 166,0.437425198,1.111713965,9.987744463,550.2052,545.98669
DP 167,0.672382802,2.424172646,8.24971382,647.35175,624.745
DP 168,2.083348916,1.215525757,11.58503474,543.57288,510.21744
DP 169,2.264665699,2.775937963,1.266309207,2462.6902,2087.6462
DP 170,0.367436963,1.244675197,1.456512108,2071.1226,2087.8354
DP 171,2.39337592,2.49050172,8.409290105,630.36023,576.74323
DP 172,1.99495678,1.243332898,1.239071561,2432.8193,2090.5945
DP 173,0.302141104,1.777936919,3.050786445,1157.4125,1164.5026
DP 174,1.197450073,2.376098763,2.626785063,1387.1158,1296.2509
DP 175,2.322127006,0.569159985,8.209572062,629.11102,598.44385
DP 176,1.843986864,0.644805534,9.869009475,557.71143,532.93524
DP 177,1.605599084,1.844716842,9.98732885,607.34583,569.24713
DP 178,2.649982672,1.952943467,4.919656888,806.49121,699.69391
DP 179,2.680416658,0.781044725,2.041158107,1598.808,1339.8773
DP 180,1.758123599,2.526380711,7.063344506,699.89893,659.8338
DP 181,2.271368029,2.573425198,5.212179426,791.81738,726.50421
DP 182,1.770545316,1.38535573,7.711918349,658.34125,604.69965
DP 183,1.217928005,2.718916905,7.632254481,637.01556,614.11359
DP 184,2.657947475,2.487647762,3.058435219,1180.501,1116.0906
DP 185,1.613098121,0.556924512,1.236741436,2383.3293,2300.4021
DP 186,1.038152354,1.073795983,8.630172212,606.67969,586.83051
DP 187,1.864041691,0.585281051,4.286455733,832.27142,791.1449
DP 188,1.919319464,2.182648657,2.871682596,1195.4094,1015.155
DP 189,1.946735279,2.525460614,8.618918496,642.73334,600.72998
DP 190,1.69515944,2.36103347,11.80135046,564.4624,540.75165
DP 191,1.021121284,1.928261028,3.312235132,1166.9048,1118.1478
DP 192,2.675795387,1.997471037,10.15274675,567.60156,513.11969
DP 193,1.244700399,1.863588453,6.468034878,759.0119,713.75281
DP 194,2.327201908,0.959000603,7.545357655,659.03326,598.53864
DP 195,2.295566694,0.720097303,3.282600587,1010.3576,854.08417
DP 196,0.305478772,0.367728955,8.281919572,616.75793,626.37683
DP 197,1.034543572,1.077354154,6.528713625,690.1579,665.0097
DP 198,0.882145091,1.894269566,7.027349604,720.00714,702.95093
DP 199,2.31981796,1.385692923,10.42753838,557.31512,495.32831
DP 200,1.36875264,2.776322952,9.992666851,575.87225,558.49731
DP 201,1.33514569,1.50174013,11.68997796,532.5965,502.4285
DP 202,2.290192488,2.429864499,10.34758102,581.01556,524.38513
DP 203,0.635805008,2.606622004,11.92540092,527.04315,523.01996
DP 204,1.114153609,1.543222964,8.685340506,613.23724,597.26074
DP 205,2.077667402,1.966593854,8.597974087,622.88727,543.29767
DP 206,1.245492854,0.818988666,1.322085152,2109.897,1916.8405
DP 207,1.936322949,0.999613967,6.294392933,700.73212,642.09399
DP 208,0.884492287,1.173319771,11.44706952,524.54248,515.28741
DP 209,2.695599787,0.435151301,3.12975213,1073.1504,1037.9576
DP 210,2.433116326,1.775373446,2.236315825,1400.8723,1121.53
DP 211,2.615616118,0.329172986,8.365168183,612.33514,591.07306
DP 212,0.923279305,1.290080726,3.081499359,1072.7542,1021.0085
DP 213,2.093819859,1.162817088,2.931957352,1226.3259,1094.8425
DP 214,2.352330335,0.724246893,5.294124727,750.74585,669.56714
DP 215,0.401635761,1.117413959,8.111107511,617.01587,611.75348
DP 216,1.859034802,2.22841515,6.038221201,768.7608,720.61017
DP 217,1.534856331,2.448274359,3.24214077,1147.9351,1089.2664
DP 218,1.852221532,2.73762379,11.89984049,513.57349,491.8855
DP 219,0.614760454,0.677889069,2.751808449,1173.5549,1140.4922
DP 220,2.164665731,0.334630179,11.6437026,494.43829,465.37009
DP 221,0.377787167,2.126221666,5.913506247,777.80566,771.12189
DP 222,1.476623015,0.643813034,7.621400207,636.91425,616.01019
DP 223,2.468312632,0.727546518,10.70712887,539.88177,502.9606
DP 224,0.66940311,1.920428493,4.268092241,982.72607,956.59009
DP 225,0.990720831,2.742893764,3.00557427,1168.5593,1100.9777
DP 226,2.25321597,2.136849734,11.65657551,527.50317,485.30807
DP 227,0.899810095,2.34860223,9.598342356,603.9856,575.1449
DP 228,0.858418146,0.654905056,1.401868729,2055.1885,1935.8011
DP 229,0.327406174,2.53307849,3.337932707,1041.2224,967.14392
DP 230,1.423318922,2.413973334,8.002412655,649.05377,616.16266
DP 231,0.339918046,0.430979636,9.882105114,566.95996,576.19452
DP 232,1.638642062,1.011463397,3.516899625,1000.6061,877.40192
DP 233,0.936677543,1.637080584,2.387749677,1410.6594,1323.1616
DP 234,2.278859761,2.018160825,1.21338422,2520.1091,2267.1892
DP 235,0.353025223,1.745179995,1.469604644,1995.1151,1996.5374
DP 236,1.208975989,0.880405672,10.29480204,566.08246,542.2832
DP 237,1.975876322,1.811764554,2.783373911,1213.2085,1017.9586
DP 238,2.256190739,0.324276063,5.592340912,651.96155,582.80652
DP 239,2.44982501,2.783577113,10.74461892,557.38635,503.79523
DP 240,0.647887156,0.658093448,8.800552974,600.94092,590.91022
DP 241,2.319283196,1.171349041,4.270707752,894.82965,792.32709
DP 242,1.061882068,0.356373414,7.54653504,591.8996,567.0188
DP 243,1.587579356,0.459403598,5.105798892,769.00183,725.38739
DP 244,1.33691185,1.849204989,1.804622036,1737.2864,1621.2068
DP 245,1.253204618,2.48965382,11.19309135,555.55902,534.84424
DP 246,1.273080159,0.795418366,3.795796244,954.59564,920.42242
DP 247,2.682194959,1.292470529,9.985250506,574.56915,500.27795
DP 248,1.700427268,1.288262389,4.668966468,857.95721,770.21533
DP 249,1.208488955,0.425727344,3.06587244,965.29242,896.79871
DP 250,1.016583769,0.506857512,10.65556703,552.13885,533.23975